date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
1978-03-04,MO,CHESTERFIELD,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,44,300,null,null,2000,null,2,BEECH,9555,null,INSTRUCTOR INDUCED ENGINE CUT DURING TAKEOFF IN A TWIN. STUDENT LOST DIRECTIONAL CONTROL. ENDED IN DEEP SNOW.
1978-03-04,MT,RED LODGE,Hurricane,Day,Greater than 10 miles,null,Landed Short,Undershoot Landing,42,100,null,null,600,null,1,BLANCA,8,null,PILOT LANDED SHORT IN DEEP SNOW AT THE APPROACH END OF RUNWAY.
1978-03-04,OH,HEBRON,null,Dusk,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,45,145,null,null,654,null,1,CESSNA,172,null,FLIGHT INSTRUCTOR ALLOWED STUDENT TO LOSE DIRECTIONAL CONTROL AFTER TOUCHDOWN. HIT A SNOWBANK.
1978-03-04,NE,PLATTSMOUTH,null,Dusk,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,35,165,null,null,1000,null,1,PIPER,PA28140,null,INSTRUCTOR WITH STUDENT ON A TOUCH & GO ALLOWED AIRCRAFT TO DRIFT INTO A PATCH OF SNOW. LOST DIRECTIONAL CONTROL.
1978-03-04,PA,HERSHEY,Whirlwind,Day,null,null,Failed to Maintain Adequate Flying Speed,Undershoot Landing,41,110,null,null,650,null,1,PIPER,PA28140,null,PRIVATE PILOT ON BIENNIAL FLIGHT REVIEW DEVELOPED HIGH SINK RATE. LANDED SHORT.
1978-03-05,MA,BOSTON,Fog,Day,Greater than 10 miles,null,Improper/Inadequate Snow/Ice Removal From Aircraft,Other/Miscellaneous,null,null,null,null,null,null,4,BOEING,747273,null,CAPTAIN STOPPED AND SHUT DOWN. THOUGHT HE HAD BRUSHED A SNOWBANK. NO DAMAGE, STARTED ENGINES AND CONTINUED.
1978-03-05,NY,WHITE PLAINS,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,50,20,null,null,300,null,1,PIPER,PA28235,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1978-03-05,PA,NEW CUMBERLAND,Light Snow,Day,null,null,Improper Level Off,Hard Landing,60,1500,null,null,2000,null,1,BEECH,35,null,PILOT PORPOISED ON LANDING, COLLAPSED THE NOSE WHEEL.
1978-03-05,MI,DETROIT,Hurricane,Dusk,6,null,Failed to Avoid Objects or Obstructions,Collision With Fences and Posts,21,275,null,null,925,null,1,MOONEY,M20E,null,PILOT HIT FENCE WITH WING TIP WHILE MANEUVERING TO PARK.
1978-03-05,NV,RENO,Hurricane,Day,Greater than 10 miles,null,Lost Control in Adverse Weather Conditions,Airframe Failure - In Flight,52,425,null,null,1300,null,2,PIPER,PA31,null,IFR PILOT LOST CONTROL IN TURBULANCE AT 12500 FEET, REGAINED CONTROL AT 5100 FEET. AIRCRAFT WAS BENT.
1978-03-05,CT,BURLINGTON,Hurricane,Day,Greater than 10 miles,null,Aircraft Improperly Aligned With Runway,Collision With Runway/Approach Lights,41,125,null,null,400,null,1,PIPER,PA28140,null,PILOT LANDED IN CROSSWIND WITH BLOWING SNOW. NOT PROPERLY ALIGNED WITH THE RUNWAY, HIT A RUNWAY LIGHT.
1978-03-05,IA,FORT DODGE,null,Day,Greater than 10 miles,null,null,System Malfunction or Failure,29,10,null,null,25,null,1,CESSNA,177,null,ODOR AND EVENTUAL SPARKS CAME FROM THE FUEL GAUGE. WRONG TYPE VOLTAGE REGULATOR CAUSED OVERVOLTAGE.
1978-03-05,MI,NEW HUDSON,Hurricane,Night,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,60,650,null,null,1600,null,1,PIPER,PA28R200,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN ON ICE COVERED RUNWAY. ENDED IN A SNOWBANK.
1978-03-05,MI,CHARLOTTE,Hurricane,Day,9,null,Collided With Object on Final Approach,Collision With Airport Hazard,56,150,null,null,600,null,1,UNIVAR,415,null,PILOT WAS LOW ON THE APPROACH AND HIT TWO SNOWBANKS AT THE APPROACH END OF THE RUNWAY.
1978-03-05,LA,VIDALIA,Light Snow,Dusk,null,null,null,Gear Collapse,38,2000,null,null,7000,null,2,CESSNA,401,null,ONE MAIN GEAR COLLAPSED AFTER TOUCHDOWN, CAUSE NOT DETERMINED.
1978-03-05,WI,LAKE GENEVA,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,26,15,null,null,271,null,1,PIPER,PA28161,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND.
1978-03-05,AZ,MESA,Hurricane,Day,null,null,null,Gear Collapse,30,14,null,null,368,null,1,RKWELL,112,null,NOSE GEAR RETRACTED DURING THE TAKEOFF RUN. THE DOWNLOCK SPRINGS WERE FOUND TO BE BELOW MINIMUM PULL TENSION.
1978-03-05,NC,OXFORD,Hurricane,Day,null,null,null,Wheels - Up Landing,29,350,null,null,1500,null,2,BEECH,SNB5,null,PILOT UNABLE TO EXTEND THE GEAR BY NORMAL OR EMERGENCY PROCEDUES. THE DYNAMIC RELAY WAS STICKING.
1978-03-05,FL,ORMOND BEACH,null,Day,7,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,27,300,null,null,1500,null,1,MOONEY,M20C,null,STUDENT FLYING WITH AN INSTRUCTOR, RETRACTED THE GEAR AFTER TOUCHDOWN.
1978-03-05,PA,PERKASIE,null,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,29,12,null,null,808,null,1,BEECH,D45,null,PILOT AND A FLIGHT INSTRUCTOR ON A TRAINING FLIGHT FAILED TO EXTEND GEAR BEFORE TOUCHDOWN.
1978-03-06,CA,PETALUMA,Hurricane,Dusk,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,62,1100,null,null,13500,null,1,MOONEY,M20C,null,PILOT FORGOT THE LANDING GEAR BEFORE LANDING.
1978-03-06,MD,CHESAPEAKE BAY,Light Snow,Day,null,null,null,Engine Malfunction,35,50,null,null,400,null,1,PIPER,PA28R180,null,ENGINE STOPPED DUE TO LOSS OF FUEL PRESSURE. CAUSE NOT DETERMINED.
1978-03-06,TN,ARLINGTON,Hurricane,Day,4,null,Miused Carburetor Heat / Deicing Procedure,Forced Landing,35,null,null,null,null,null,1,TMPSON,NAVIONA,null,FORCED LANDING DUE TO CARBURETOR ICING.
1978-03-06,IN,ZIONSVILLE,null,Day,7,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,40,10,null,null,30,null,1,PIPER,PA28180,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1978-03-06,PA,E STROUDSBURG,Light Snow,Day,8,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,56,1900,null,null,12396,null,2,BEECH,B90,null,PILOT UNABLE TO STAY IN NARROW PLOWED AREA DURING PROP REVERSE OPERATION.
1978-03-06,NC,STATESVILLE,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,48,200,null,null,500,null,1,CESSNA,172,null,NOSE GEAR COLLAPSED AFTER HARD LANDING.
1978-03-06,CA,FULLERTON,Whirlwind,Day,null,null,null,Gear Collapse,58,500,null,null,20000,null,1,PIPER,PA28R200,null,NOSE GEAR COLLAPSED ON ROLLOUT DUE TO BROKEN CENTER PILOT BOLT. THE THREADED NUT WAS MISSING.
1978-03-06,MI,UTICA,Light Snow,Day,Greater than 10 miles,null,null,Gear Collapse,49,80,null,null,1200,null,1,PIPER,PA32R300,null,PILOT TAXIING OUT OVER ICE COVERED DIP IN THE TAXIWAY. NOSE WHEEL BROKE THROUGH, COLLAPSED THE NOSE GEAR.
1978-03-06,TX,DENTON,Light Snow,Day,5,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,50,360,null,null,460,null,1,BLANCA,1730,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1978-03-06,CO,ASPEN,Light Snow,Day,5,null,Inadequate Flight/Ground Training - Procedures,Other/Miscellaneous,61,600,null,null,1500,null,2,CESSNA,414,null,PILOT ATTEMPTED TAKEOFF WITH SNOW AND ICE ON THE AIRPLANE, LIFTED OFF, RETRACTED THE GEAR, THEN SETTLED BACK.
1978-03-06,FL,MIAMI,null,Day,null,null,null,null,41,30,null,null,4000,null,2,PIPER,PA23160,null,INSTRUCTOR SIMULATED ENGINE OUT AFTER TAKEOFF WITH LEFT MIXTURE CONTROL, STUDENT FEATHERED PROP. NO RESTART.
1978-03-07,KY,BOWLING GREEN,Light Snow,Day,7,null,Improper/Inadequate Snow/Ice Removal From Aircraft,Gear Collapse,32,1200,null,null,5000,null,2,BEECH,E18S,null,LANDING GEAR DAMAGED IN ATTEMPTED LANDING, HIT A RIDGE OF SNOW ON THE RUNWAY. GEAR COLLAPSED AFTER TOUCHDOWN.
1978-03-07,CA,PACOIMA,Light Snow,Dusk,Greater than 10 miles,null,Started Engine Without Assistance/Equipment,Other/Miscellaneous,45,15,null,null,6500,null,1,LUSCOM,8,null,PILOT HAND PROPPED HIS AIRPLANE, IT STARTED, RAMMED TWO PARKED AIRPLANES, THEN STOPPED.
1978-04-22,OH,BLUE ASH,Hurricane,Day,null,null,Operational Gear Control Failed,Gear Collapse,47,350,null,null,951,null,1,BEECH,B35,null,PILOT EXTENDED GEAR AND CHECKED FLOOR INDICATOR BUT NOT GEAR LIGHTS. COLLAPSED ON ROLL OUT. OUT OF ANNUAL.
1978-04-22,FL,COCONUT GROVE,Hurricane,Day,7,null,null,Stall,40,92,null,null,2175,null,1,ENSTRM,280,null,PILOT MADE APPROACH TO HOVER TO INTENDED LANDING SITE ON SHORE. COULD NOT MAINTAIN RP. SETTLED IN WATER.
1978-04-22,AL,TUSKEGEE,null,Day,null,null,Improper Management - Fuel Tank Selector,Forced Landing,24,46,null,null,46,null,1,PIPER,PA28180,null,STUDENT PILOT FORGOT TO SWITCH FUEL TANKS. LANDED IN FIELD.
1978-04-22,CA,HAWTHORNE,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,53,299,null,null,436,null,1,CESSNA,180,null,AIRCRAFT TRIMMED FOR 2 WHEEL LANDING. WHEN IT TOUCHED DOWN IT PITCHED FORWARD ALLOWING PROP TO TOUCH GROUND.
1978-04-22,FL,MILTON,null,Day,null,null,null,Gear Collapse,48,500,null,null,5000,null,1,CESSNA,210,null,NOSE GEAR COLLAPSED ON LANDING ROLLOUT.
1978-04-22,WI,WAUPACA,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,40,50,null,null,500,null,1,MOONEY,M20C,null,AFTER SMOOTH APPROACH NOSE SUDDENLY DROPPED TO RUNWAY, BENDING PROP.
1978-04-22,AZ,MESA,Hurricane,Day,null,null,null,Wheels - Up Landing,40,575,null,null,1000,null,1,CESSNA,T210M,null,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. UNABLE TO EXTEND MAIN GEAR. LANDED WITH MAINS RETRACTED.
1978-04-22,CA,BLYTHE,Hurricane,Day,Greater than 10 miles,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,40,50,null,null,300,null,1,BEECH,E35,null,ON ROLLOUT, PILOT RETRACTED GEAR INSTEAD OF FLAP.
1978-04-22,LA,PINEVILLE,Hurricane,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,41,100,null,null,900,null,2,PIPER,PA23,null,PILOT FORGOT TO EXTEND GEAR FOR LANDING.
1978-04-22,OH,ELYRIA,Hurricane,Day,Greater than 10 miles,null,Extended Gear Too Late,Wheels - Up Landing,57,1040,null,null,2383,null,2,CESSNA,320,null,PILOT DID NOT EXTEND GEAR UNTIL WARNING HORN SOUNDED. TOO LATE GEAR PARTIALLY EXTENDED.
1978-04-22,OR,TROUTDALE,Hurricane,Day,null,null,null,Gear Collapse,52,135,null,null,245,null,1,BLANCA,14132,null,NOSE GEAR COLLAPSED WHEN APPLIED BRAKES ON ROLLOUT. JACKSCREW BUSHING WORN IN GEAR ACTUATOR.
1978-04-23,AK,ANCHORAGE,Hurricane,Unknown,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,44,92,null,null,200,null,1,CESSNA,180,null,PILOT WAS UNABLE TO MAINTAIN DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1978-04-23,TX,WIMBERLEY,Hurricane,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,41,410,null,null,560,null,1,CESSNA,210,null,AIRCRAFT LANDED GEAR UP. PILOT DID NOT HEAR GEAR WARNING HORN. WIRE BROKEN ON GEAR WARNING SWITCH.
1978-04-23,SC,COLUMBIA,Hurricane,Day,null,null,Improper Level Off,Hard Landing,20,null,null,null,null,null,1,BBAVIA,8,null,PILOT ATTEMPTING WHEEL LANDING IN GUSTY CROSSWIND BOUNCED AND CAME DOWN HARD. PROP STRUCK GROUND.
1978-04-23,MD,SALISBURY,Light Snow,Night,null,null,null,Propeller Malfunction or Failure,45,65,null,null,106,null,1,MOONEY,M20E,null,SEVERE VIBRATION AT CRUISE. PILOT REDUCED POWER AND LANDED AT NEAREST AIRPORT. 4 INCHES OF PROP TIP MISSING.
1978-04-23,AL,TUSCALOOSA,Hurricane,Day,7,null,null,Gear Collapse,41,25,null,null,350,null,2,CESSNA,310,null,NOSE GEAR WOULD NOT EXTEND FULLY FOR LANDING. NOSE GEAR DRIVE TUBE ASSEMBLY BROKEN.
1978-04-23,IA,FARMINGTON,Hurricane,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Other/Miscellaneous,28,89,null,null,89,null,1,CESSNA,150,null,AIRCRAFT WAS LANDED IN PASTURE DUE TO ILL PASSENGER. WHILE TAXIING DOWNWIND DOWNHILL AND TURNING NOSE COLLAPSED.
1978-04-23,TX,LAKE JACKSON,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,60,800,null,null,1600,null,1,CESSNA,210,null,PILOT PRACTICING TOUCH AND GO LANDING FORGOT TO EXTEND GEAR.
1978-04-23,NC,MOORESVILLE,null,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,32,50,null,null,5100,null,2,PIPER,PA30,null,WHILE TAXIING OFF RUNWAY MAIN GEAR STRUCK HOLE COVERED BY GRASS. GEAR COLLAPSED.
1978-04-23,NE,KEARNEY,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,23,31,null,null,31,null,1,PIPER,PA28140,null,STUDENT PILOT ATTEMPTING TAKEOFF IN GUSTY CROSSWIND LOST DIRECTIONAL CONTROL. RAN OFF SIDE OF RUNWAY.
1978-04-24,IA,DES MOINES,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,64,3,null,null,450,null,1,CESSNA,182,null,AIRCRAFT BALLOONED AND PILOT FAILED TO CORRECT. PLANE PORPOISED DAMAGING NOSE WHEEL AND PROP.
1978-04-24,IN,INDIANAPOLIS,Light Snow,Day,8,null,null,Airframe Failure - In Flight,43,200,null,null,1800,null,2,PIPER,PA34200T,null,AFTER TAKEOFF PILOT HEARD BANG AND SAW BAGGAGE. DOOR COME OPEN. PARTS HIT WINDSHIELD. EMERGENCY LANDING.
1978-04-24,MN,RUSH CITY,Wind,Day,null,null,Improper Operational Brake - Flight Control-Ground,Other/Miscellaneous,null,null,null,null,null,null,1,BELL,47,null,DURING GROUND RUN UP AIRCRAFT BECAME AIRBORN, STARTED TO SPIN AND MAIN ROTOR BLADES STRUCK GROUND.
1978-04-24,MO,HORNERSVILLE,Fog,Day,Greater than 10 miles,null,null,Engine Malfunction,31,36,null,null,779,null,1,PIPER,PA28R200,null,LOSS OF POWER AFTER TAKEOFF. LANDING IN FIELD. PROBABLE FAILURE OF PISTON.
1978-04-24,TN,NASHVILLE,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,66,800,null,null,9000,null,1,PIPER,PA28R200,null,NOSE GEAR DROPPED INTO HOLE AS AIRCRAFT WAS BEING TAXIED ON GRASS TO PARKING. MARKER HAD FALLEN OVER DUE TO WIND.
1978-04-24,MO,OSAGE BEACH,Hurricane,Night,5,null,Landing Far Down / Land Area Overshot,Overshoot Landing,20,200,null,null,300,null,null,BEECH,B23BEECH,null,AIRCRAFT OVERRAN DEPATURE END OF RUNWAY DURING NIGHT LANDING.
1978-04-24,CA,REDLANDS,null,Day,null,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,53,4,null,null,2989,null,1,BEECH,B35,null,INSTRUCTOR RETRACTED GEAR INSTEAD OF FLAPS DURING TOUCH AND GO.
1978-04-25,MI,MIDLAND,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,null,9,null,null,480,null,1,AMTRJF,BARRACUDA,null,PILOT ABRUPTLY CHANGED ATTITUDE OF AIRCRAFT JUST BEFORE TOUCHDOWN. AIRCRAFT DROPPED HARD COLLAPSED MAIN GEAR.
1978-04-25,NJ,MORRISTOWN,Hurricane,Day,Greater than 10 miles,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,31,350,null,null,1500,null,2,PIPER,PA23235,null,PILOT INADVERTENTLY RETRACTED GEAR AFTER LANDING.
1978-04-25,NY,BUFFALO,Light Snow,Day,Greater than 10 miles,null,null,Engine Malfunction,59,1650,null,null,20000,null,2,BEECH,200,null,FLAME OUT AT FL180 LEFT ENGINE. FOUND MAIN OIL PUMP SHAFT HAD SHEARED AFTER UNEVENTFUL LANDING.
1978-04-25,AK,GLENALLEN,null,Day,Greater than 10 miles,null,null,System Malfunction or Failure,56,30,null,null,16000,null,1,CESSNA,175,null,DURING ROLLOUT AFTER NORMAL LANDING LEFT WHEEL FAILED WHEN BRAKES APPLIED. AIRCRAFT WENT INTO SNOW.
1978-04-25,TX,MIDLAND,Hurricane,Night,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,21,3,null,null,235,null,1,CESSNA,182,null,PILOT WAS SHOOTING 2 TOUCH AND GO AFTER CROSS COUNTRY WHEN FUEL RAN OUT. LANDED ON HIGHWAY.
1978-04-25,CA,LANCASTER,Light Snow,Day,null,null,Improper Level Off,Hard Landing,57,30,null,null,5728,null,1,GULSTM,AA5,null,PILOT ALLOWED AIRCRAFT TO PORPOISE ON LANDING. CURLED PROP BLADE.
1978-04-25,CO,BOULDER,Unknown,Night,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,null,null,null,null,null,null,1,CESSNA,180,null,PLANE WAS TAXIED OFF TAXIWAY INTO DRAINAGE DITCH. OCCUPANT DEPARTED PLANE IN EXTREME HASTE.
1978-04-25,KS,OLATHE,null,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Gear Retrieval,39,25,null,null,1500,null,1,BEECH,F35,null,PILOT RETRACTED GEAR INSTEAD OF FLAPS BEFORE INSTRUCTOR COULD STOP HIM DURING TOUCH AND GO.
1978-04-25,RQ,SAN JUAN,null,Day,null,null,Improper Level Off,Hard Landing,24,500,null,null,1600,null,1,CESSNA,150,null,DURING DUAL PRACTICE STUDENT MADE A HARD LANDING. INSTRUCTOR TOOK CONTROLS BUT WHEN NOSEGEAR WAS LOWERED GEAR BENT.
1978-04-26,VQ,ST THOMAS,Hurricane,Day,null,null,null,Gear Collapse,50,500,null,null,1600,null,2,RKWELL,560,null,AS AIRSPEED DECREASED ON LANDING AND NOSE DROPPED TO RUNWAY.NOSE GEAR COLLAPSED.
1978-04-26,TX,HOUSTON,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,27,17,null,null,48,null,1,GULSTM,AA5,null,PILOT LANDED LONG AND PORPOISED. SHEARED OFF NOSE GEAR AND DAMAGED PROP.
1978-04-26,IL,WEST CHICAGO,Fog,Day,null,null,Operational Gear Control Failed,Gear Retrieval,50,null,null,null,850,null,1,BLANCA,14193,null,GEAR RETRACTED WHEN PILOT STARTED ENGINE. PILOT FAILED TO CHECK POSITION OF GEAR HANDLE.
1978-04-26,NV,YERINGTON,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,59,400,null,null,700,null,1,CESSNA,210,null,PILOT FAILED TO EXTEND GEAR FOR LANDING.
1978-04-26,AK,SAND POINT,Hurricane,Unknown,Greater than 10 miles,null,Improper Level Off,Hard Landing,null,4,null,null,4,null,1,PIPER,PA18,null,OWNER BOUNCED AND LOST DIRECTIONAL ON ATTEMPTED LANDING. NOT RATED, NO MEDICAL AND WAS DRINKING.
1978-04-27,CA,FRESNO,Hurricane,Day,null,null,null,System Malfunction or Failure,41,100,null,null,850,null,null,CESSNA,T210/,null,LOUD BANG FROM ENGINE AT CRUISE. PRECAUTIONARY LANDING MADE. HOSE BETWEEN SUPRCHARGER AND INTAKE MANIFOLD LOOSE
1978-04-27,WY,MEDICINE BOW,Light Snow,Day,null,null,null,System Malfunction or Failure,55,2500,null,null,14000,null,3,BOEING,80,null,FUEL ENTERING COCKPIT NEAR FUEL GAUGE. ENGINE SHUT DOWN. DIAPHRAM IN FUEL GAUGE RUPTURED.
1978-04-27,GA,ATHENS,Hurricane,Day,Greater than 10 miles,null,null,null,60,550,null,null,700,null,1,BEECH,B35,null,AIRCRAFT FERRIED OUT OF DISTRICT FOR MAINTENANCE BEFORE SYSTEM COULD BE CHECKED.
1978-04-27,MN,ROCHESTER,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,53,600,null,null,1800,null,2,BEECH,E55,null,PILOT FORGOT TO EXTEND GEAR FOR LANDING.
1978-04-27,WI,STOUGHTON,Light Snow,Day,null,null,null,Propeller Malfunction or Failure,47,400,null,null,494,null,1,MOONEY,M20A,426,PROP BLADE SEPARATED DURING ENGINE RUN UP.
1978-04-27,CT,HARTFORD,Hurricane,Day,Greater than 10 miles,null,null,Gear Collapse,49,130,null,null,3500,null,1,MOONEY,M20C,null,ALL THREE GEARS COLLAPSED AS PLANE WAS TAXIED OFF TAXIWAY ONTO GRASS.
1978-04-27,NJ,TETERBORO,Light Snow,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,49,null,null,null,1589,null,1,CESSNA,210,null,FAILED TO LOWER GEAR FOR LANDING.
1978-04-27,KS,PITTSBURG,null,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,null,55,null,null,2400,null,2,CESSNA,320,null,DURING TRAINING FLIGHT, STUDENT AND INSTRUCTOR FAILED TO EXTEND GEAR FOR LANDING.
1978-04-27,OH,LIVERPOOL,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,47,42,null,null,164,null,1,PIPER,PA28R180,null,PILOT FAILED TO EXTEND GEAR FOR LANDING.
1978-04-27,NY,NIAGARA FALLS,null,Day,null,null,Improper Level Off,Hard Landing,37,25,null,null,25,null,1,GULSTM,AA1,null,STUDENT PORPOISED ON LANDING. NOSE GEAR BROKE, PROP BENT.
1978-04-27,TX,HOUSTON,Light Snow,Day,null,null,Operational Gear Control Failed,Wheels - Up Landing,28,300,null,null,2850,null,2,BEECH,58,null,GEAR UP LANDING. PILOT DID NOT GET SAFE LIGHT OR AURAL WARNING. FAILED TO CHECK VISUAL GEAR POSITION INDICATOR.
1978-04-28,KS,COLBY,null,Day,Greater than 10 miles,null,null,Loss of Directional Control - Ground Loop,23,40,null,null,670,null,1,BLANCA,7,null,DURING INSTRUCTIONAL LANDING PLANE SWERVED, HIT DITCH. STEERING SPRING ON RIGHT RUDDER ARM DISCONNECTED.
1978-04-28,NY,LEROY,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,58,119,null,null,120,null,1,CESSNA,150,null,STUDENT PRACTICING LANDINGS, BOUNCED SEVERAL TIMES. NOSE GEAR COLLAPSED.
1978-04-28,FL,MIAMI,Hurricane,Day,null,null,null,Engine Malfunction,18,66,null,null,93,null,1,CESSNA,150,null,ENGINE BEGAN VIBRATING AT CRUISE AND LOST POWER. LANDED ON BEACH. INTAKE VALVE KEEPER FAILED.
1978-04-28,NC,FUQUAY,Hurricane,Day,null,null,null,System Malfunction or Failure,34,6,null,null,5000,null,1,BLANCA,7,306,ENGINE QUIT AFTER TAKEOFF. LANDED IN PASTURE. CARB MIXTUE CONTROL SLIPPED IN CLAMPING BLOCK WHICH CUT FUEL OFF.
1978-04-28,NY,STORMVILLE,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,35,10,null,null,700,null,1,CESSNA,140,null,INSTRUCTOR DEMONSTRATING CROSSWIND LANDING TO STUDENT. GUST OF WIND CAUSED AIRCRAFT TO FLIP OVER.
1978-04-28,KY,LOUISVILLE,Light Snow,Day,10,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,null,275,null,null,500,null,1,CESSNA,170,null,PILOT LET AIRCRAFT PORPOISE AND WING TIP DUG INTO GRASSY AREA.
1978-04-28,NC,SOUTH POINT,null,Day,Greater than 10 miles,null,Downwind Takeoff or Landing,Other/Miscellaneous,34,33,null,null,48,null,null,PIPER,PA28/,null,STUDENT ON SOLO CROSS COUNTRY LANDED DOWNWIND AND OVERSHOT RUNWAY. RAN OFF END.
1978-04-28,SD,SIOUX FALLS,Light Freezing Rain,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Wires-Poles,23,100,null,null,1100,null,1,PIPER,PA28140,null,TIRE OF AIRCRAFT STRUCK TOP WIRE OF POWERLINES WHILE ON PATROL.
1978-04-28,NY,SWORMSVILLE,Hurricane,Day,null,null,Other/Miscellaneous,Nose Up or Over,null,1000,null,null,20000,null,1,BOEING,E75N1,null,FOLLOWING LANDING AND DURING 180 TURN, AIRCRAFT ENTERED A SOGGY AREA AND FLIPPED OVER ON ITS BACK.
1978-04-28,AK,ANCHORAGE,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Fences and Posts,27,55,null,null,65,null,1,CESSNA,150,null,STUDENT TAXIING MISJUDGED WING TIP CLEARANCE AND STRUCK FENCE POST.
1978-04-28,MD,CLINTON,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,47,29,null,null,29,null,1,CESSNA,152,null,STUDENT PILOT LOST DIRECTIONAL CONTROL ON ROLLOUT. GUST LOCK FOUND JAMMED IN RUDDER PEDAL. NO FACTOR SAYS PILOT
