c5,remark
19730621032129A,LOST CTL DUE TURBC OR INFLT FIRE OR BOTH.UN TO ESTAB TIMELY RADIO CONTACT W DEP CTL.PART 91D OPN.
19730622014479A,"BECAME LOST,LND TO LOCATE POS. HIT BANK 10 FT FROM THRESHOLD."
19730622015329A,PLT APPLIED CARB HEAT AND REDUCED THROTTLE TO IDLE.TEMP 88 DEGS.ALLOWED RPM TO DROP TO 630.
19730622016079A,
19730622016679A,"HIGH,STEEP APCH AT LOW AIRSPEED.PLT ATMTD CK HIGH RATE OF DSCNT,HARD LDG DID OCCUR."
19730622016959A,"CRANKSHAFT FAILED,PROP SEPARATED. LND IN WHEAT FLD."
19730622016969A,DEN ALT 7000FT. 128LBS OVR GROSS WT. ACFT PASSED THRU CORRAL STRIKNG FENCE.
19730622017439A,"WHEEL EQPD.ACFT STOPPED IN FLD AFTR CTL LOST.R WING TIP HIT BY WHEEL OF FOLLOWING,LANDING GLIDER."
19730622017459A,DESCENDED BLO MDA.LOCAL WEA COND GIVEN PLT BY CAR TO ACFT RADIO.RECOVERY DATE 6/23/73.
19730622018119A,"NO BRAKE MALFUNCTION FOUND,RAN OFF END OF RWY STRUCK TREES."
19730622018129A,"CRANKSHAFT FAILED,PROP SEPARATED IN FLT. LND GR PARTIALLY EXTENDED.HELD GR TO ASSURE FLD MADE."
19730622018819A,"ACFT OVRSHOT THE RWY,STALLED,AND HIT A TREE OFF THE END OF THE RWY."
19730622018829A,"NO WX BRIEF,RADIO INOP.PENETRATED TSTM,OVERSTRESSED WINGS AND HORIZONTAL STABILIZER."
19730622019989A,DIVERTED TO PRIVATE STRIP DUE TSTM.WIND SHIFT & HEAVY RAIN AT T/D.HIT FENCE POST ON GO ARND.
19730622019999A,BECAME LOST AT NITE FUEL EXHAUSTED ON FINAL.MAKING S TURNS WITH CTLS CROSSED TO LOSE ALT.
19730622020299A,WATER FOUND IN CARB. PLT BLOOD ALCOHOL LEVEL 0.16 PCT.
19730622020759A,COLLIDED WITH TOWER.MADE SUCCESSFUL FORCED LDG. WINDSHIELD COVERED WITH CHEMICALS.
19730622021709A,FLEW INTO CANYON WHILE WATCHING PEACOCK.
19730622022579A,HIT SAND BERM SHORT OF RWY.THRESHOLD UNMARKED. HRSHLD.
19730622023339A,DESCENDED INTO TREES IN TSTM COND.
19730622024249A,WIND GUSTING 15K.ACFT STARTED R TURN PLT APLD L BRAKE RPTD NONE.FIRE MELTED ALUMN PARTS IN SYS.
19730623015879A,IMPELLER BEARING P/N 288943 FAILED.UPON T/D PLT INADVERTENTLY HAD THE BRAKES ON.
19730623016689A,
19730623017059A,SIM FORCED LDG.
19730623017229A,"R TANK EMPTY,7-8GAL FUEL AVAIL L TANK.HIT BALE OF HAY."
19730623017239A,3RD ATMT TO LAND DNWND.
19730623017469A,PLT STATED COULDN'T GET OVR 1900RPM.MADE MIXTURE RICHER.CRASH LNDD.DENS ALT ABT 8900FT.
19730623017479A,GR HANDLE DN. GR MOTOR AND SAFE LIGHT CKT BKR POPPED. GR WARNING HORN INOP ON PREVIOUS LDGS.
19730623017839A,ACFT SVCD WITH 50GAL FUEL AND 136LB CHEMICAL.HIT FENCE AND TREES ABT 3-4FT HI.
19730623018839A,PLT ENCOUNTERED WIND GUSTS DURING FINAL APPCH.WIND GUSTING 30K.
19730623020309A,TRIED TO GO ARND AT TOO LOW SPEED. UN OUTCLIMB TREES IN PATH SO CLOSED THROTTLE & LND.
19730623020319A,LOST PWR R ENG DUE PROP GOV TO ACCUMULATOR PRESS LINE CAME LOOSE.LOST PROP PITCH CTL.D/A 7560 FT.
19730623020549A,REAR ENG THRUST WARN LITE CAME ON.NO ENG MALF FOUND.HIT TREE AVOIDING GOING OVR BLUFF.10500FT DA.
19730623020559A,
19730623020769A,
19730623021299A,POSSIBLE DOWNDRAFTS PRESENT ON FINAL APPROACH.
19730623022699A,FLOAT EQUIPPED.UN REACH RIVER.PLT HAD 1 1/2 HRS REST IN LAST 48.MOISTURE IN DIST & FUEL INJ LINES.
19730623022919A,COLL WITH IRRIGATION CANAL.
19730623023349A,LNDG GR ACTUATOR MOTOR FAILED.NO WARNING LT TO INDC INTMD GR POSITION.
19730623025379A,L MAIN LDG GR BELL CRANK ASSEMBLY P/N 051001-1 FAILED.
19730623043089A,
19730624016699A,PLT ATTN WAS DISTRACTED BY ANOTHER ACFT IN TFC PAT.
19730624016979A,PILOT TAXIED INTO VASI LIGHT.
19730624016989A,"DRG LDG PLT ATMTD TO AVOID WIRES THAT CROSSED FLD,L WING HIT GND."
19730624017249A,ACFT HIT GRND AND TURNED OVR.
19730624017489A,
19730624017849A,FLARED HI DID NOT APPLY DRIFT CORRECTION.L WING HIT TREE APRX 200FT L OF RWY.
19730624017859A,"WIRES 20FT AGL,AT END OF 2ND PASS HOOKED TELEPHONE LINES ABV SKID AREA."
19730624017869A,SHALLOW RAVINE.
19730624018429A,DID NOT FLARE FOR LDG T/D NOSE WHEEL FIRST.
19730624019029A,SWERVED L HIT A HANGAR AND PARKED AUTOMOBILE.
19730624020179A,"OVRRAN 2000FT RWY,LAST 1000FT GRASS.R MLG COLLAPSED."
19730624020329A,PLTS TIME AS OF 12/23/71.
19730624020569A,"SPUN FROM LOW STEEP L TURN,FLAPS FULL DOWN."
19730624020779A,STEERABLE TAIL WHEEL INOPERATIVE.
19730624020959A,
19730624024259A,INFLIGHT WING SEPARATION. PULL UP FROM LOW PASS.
19730624026309A,PLT ATTN DIVERTD DURING SWATH RUN DUSTING WATERMELLONS.
19730624027749A,TKOF WITH 10GAL FUEL FOR 181MI FLT.ATMTD TO LND ON GOLF COURSE.
19730624027759A,FIRST FLT IN THIS MODEL.
19730625015889A,
19730625016089A,PRECAUTIONARY LDG DUE ELECTRICAL PROBLEM.
19730625017259A,FSS ADVSD PLT VFR FLT NOT RECOMMENDED BETWEEN EUGENE & PORTLAND.CRASHED IN WATER-FILLED GRAVEL PIT
19730625017269A,AIRCRAFT COLLIDED WITH HEDGE ROW.PLT ATMTD DUMP LOAD INADVERTENTLY REDUCED PWR.
19730625017279A,
19730625017879A,DID NOT CK FUEL BFR FIRST FLT.LNDD ON A ROAD.
19730625017889A,"FLEW INTO DENSE FOG,LOST CTL. RECOVERED 6/26/73."
19730625017899A,"L LDG GR EXTENSION ROD ASSY BENT UNDER COMPRESSION.PLT RPTD R TIRE BLEW OUT,R MAIN GR COLLAPSED."
19730625017909A,"ACFT LOADED SAME AS ON PREV TRIPS.UN CLB OUT OF GND EFFECT,APCHG WIRES PCT ELECTED TO LND ACFT."
19730625018439A,"ONT FLT INTO RISING TERRAIN.USED 20 DEG FLAPS,MFR STATES 5-10 DEG OPTIONAL."
19730625019039A,POST EXAM OF ENG DISCLOSED CRANKSHAFT COULD NOT BE ROTATED.ACFT SOLD FOR SALVAGE ENG NOT TORN DWN.
19730625022229A,INPUT SHAFT FWD COUPLING(P/N2060401085) & DRAG PIN ASSY(P/N2060315095).ABT 200FT AGL.
19730625022709A,"ENG FAILED DURING EXTERNAL LIFT PRACTICE.CARB DIAPHRAGM PUNCTURED,CHAFED.NO TIME TO RELEASE LOAD."
19730626016299A,ATMTD LDG ON ROAD.LNDD SHORT.
19730626016709A,"STRUCK BOULDER ON RWY THRESHOLD,GR COLLAPSED."
19730626017499A,NO CAUSE FOUND FOR ENG FAILURE-ENGINE OPERATED AFTER ACCIDENT.LNDD IN PLOWED FLD.
19730626017919A,"PLT FELL ASLEEP & HIT TREES IN LEVEL FLT.FLEW FIRE PATROL,INSTRUCTED BY DAY.OBS ON NITE MAIL RUNS."
19730626018139A,
19730626018449A,UNIMPROVED FLD COLLIDED WITH FENCE STRUCK SOME SMALL BOULDERS AND A TREE.FLD LENGTH 1580FT.
19730626020009A,FUEL SEL VALVE ON L TANK FOR T/O 6 GAL IN TANK.AD 72-11-2 FUEL SYS PLACARD 13GAL FOR T/O NOT C/W.
19730626020189A,"75 FT FROM RWY EDGE TO RWY LTS.PLT DIDNT USE LDG LTS,LND TO L OF RWY IN PLOWED AREA."
19730626020349A,L CRANKSHAFT IDLER GR SHAFT P/N 73010 LOOSENED.CAP SCREW P/N 1838 WORN OTR DISINTEGRATED.CEDAR BK.
19730626020789A,ATMTNG VFR APCH TO FOG CVRD AIRPORT.FLEW INTO FOG.
19730626021559A,"1ST HALF OF RWY HEAVY GRAVEL,2ND HALF ROUGH HARD PAN STREWN WITH WEEDS & HAY.AIM STATED HARD SURFC"
19730626021719A,HI ALT FLT TO 33500 FT MSL.ACFT DISINTEGRATED.GR & SPEED BRAKES RETRACTED.02 EQUIP OVHL 3 YR PRIOR
19730626021979A,CABIN DOOR OPENED IN FLT.
19730626022419A,OPER STATED BRAKES BECOME SOFT AFTER HARD USE.
19730626026659A,
19730626028279A,L WING STRUCK COMBINE PARKED OFF THE RWY.FLT TO SPRAY PEANUTS.
19730627016999A,PLT ATTN DIVERTED TO APCHG GND VEHICLE IN FLD.
19730627017929A,"997HR ON ENG,REPLACEMENT ENG ORDED.PREV PWR LOSS 2 DAYS BFR.WHILE MANEUVERING L WING HIT A POLE."
19730627018149A,NO ENG RUNUP.ENGS BACKFIRED ON TKOF.HIT DIKE TO L OF RWY.BOTH ENGS POOR MECH COND.DENS ALT 6200 FT
19730627018159A,"ACFT LDG GR AND SYS CK,DWN-LOCK MECHANISM AND INDICATOR LGTS OK.PROPER CLNC GR ANTI-RETRACT VALVE."
19730627018459A,"TRACKS INDICATED MAIN GR WAS ON THE GND ALMOST TO THE FENCE.GRASS MOWED ABT 6IN HI,SOFT AND WET."
19730627018579A,ACFT 98LBS OVR GROSS WT. DEN ALT 7900FT.
19730627019049A,"SIM ENG OUT R FUEL SEL OFF.ATMTD 2 ENG GO-AROUND R ENG DID NOT RESTART.BLO VMC,R PROP NOT FEA."
19730627019379A,"WIRES CLUNG TO ACFT.LNDD IN FLD,HIT COW.FLEW 8HRS DAY BFR,UP MIDNITE WASHNG ACFT,6HRS DAY OF ACDNT"
19730627019679A,CTL ROD BALL END P/N SPHERCO TR-3-33 BEARNG THREADS STRIPPED FM THROTTLE LINK ROD.UN TO REDUCE PWR
19730627020019A,NUT BACKED OUT OF CAM REDUCTION DRIVE GR.NO EVIDENCE OF COTTER PIN.
19730627020969A,SPRAYING HAY.
19730627021989A,"AEROSOL CAN & BOX ROLLED UNDER PLTS FEET.PLT TRIED TO KICK THEM OUT OF WAY.SKIDDED,CAUGHT WG TIP."
19730627021999A,"RT TIRE BLEW,UN TO MNTN DRCTNL CONTROL.DAMAGE TO RT GR BOX ATTACHMENT AND DOOR POST."
19730628016309A,2ND SOLO.
19730628016719A,1 SPRAY PUMP BLADE MISSING.THROTTLE AND MIXTURE CABLES STRETCHED FUEL SHUT-OFF PULLED OUT.
19730628017009A,"SIM EMERG LDG APCH.DRG TURN PLT BECAME AWARE OF LOW ALT,UN CK SINK,HIT GND IN L TURN."
19730628017019A,L BRAKE CYL PISTON ROD TERMINAL END UNSCREWED. L BRAKE INOP.
19730628017029A,"ACFT PARKED IN DEPRESSION.PLT MISUSED THROTTLE,LOST CTL.ACFT HIT 3 CARS PARKED BESIDE TAXIWAY."
19730628017939A,PLT CAUTIONED JET ENG RUNNING.
19730628018169A,
19730628018179A,"ENTRD CLOUD,INITIATED L TURN TO FLY OUT AFTR COUNT OF 3.HIT TREES ON MTN."
19730628018469A,"MN ROTOR HUB ASSEMBLY,P/N 51437-7,FRACTURED THRU COUNTER BALANCE STUDS."
19730628018479A,
19730628018489A,"PORPOISED,HIT ON NOSE GR.PLT HAD 1.3 HRS IN TYPE ACFT."
19730628018589A,MANEUVERING AROUND CLOUDS CONT FLT INTO CLOUD BANK STRUCK TREES ON MTN AT 3000FT MSL.
19730628018599A,BRAKE PUCKS ON L BRAKE WORN TO 1/8IN OR LESS.ONE PUCK FORCED PAST O RING.WIND GUSTING 23K.
19730628019059A,
19730628019069A,NO WITNESS TO ACCIDENT.ACFT FOUND PARTIALLY SUBMERGED IN IRRIGATION DITCH.
19730628019079A,MAINT BY UNCERT MECH.INTAKE AND EXHAUST VALVES IMPROPERLY ADJUSTED.
19730628019469A,DNSTY ALT APRX 7200FT.GRASS WAS HIGHER THAN NML
19730628019689A,
19730628019699A,SEVERAL BRAKE DISC RETAINER CLIPS FOUND IN LINE OF TRAVEL.ABT 300FT GND ROLL ACFT VEERED L.
19730628020799A,WORN O RINGS IN LDG GEAR RETRACTION SYSTEM.ACFT EQPD WITH AMPHIBIOUS TYPE FLOATS.
19730629017069A,AIRCRAFT TOUCH DOWN 50 YDS SHORT OF RNWY.4 GAL AND 1 QT FUEL DRAINED MFG SPEC 5 GAL UNUSABLE.
19730629017289A,WIND GUSTING 22K. AIR SICK PAX.
19730629018189A,PLT HOLDING SLIGHT CROSSWIND CORRECTION AND AFTER TOUCHDOWN DID NOT RELEASE CORRECTION.
19730629018199A,"ACFT OBSVD APCH END OF RWY GR UP,LVLD OFF GR EXTDD,BOUNCED LDG."
19730629018609A,"INSTRR ELECTED TO LND BACK ON RWY,ATMTD GROUND LOOP,UN DUE STUDENT ON BRAKES."
19730629018619A,PLT ASST MIXNG CHEM BECAME ILL IN FLT.7 HRS FLT TIME ON DAY OF ACCIDENT.
19730629019089A,"BOUNCED LDG.ACFT NOSE HI,TURNED L ABT 60 DEG,HIT PALMETTO TREE BESIDE STRIP."
19730629019099A,ABT HALF WAY DWN RWY PULLED NOSE TOO HIGH ACFT VEERED L HIT FENCE AND TREES.
19730629019109A,PLT STATED STDNT ATTEMPTD GO-ARND PLT ABORTED DUE PROXIMITY OF TREES.
19730629019119A,
19730629019129A,"ONE PAX STOOD ON SKID,OTR PAX LEANED OVR."
19730629019389A,"DRG POST EXAM OF NOSE WHEEL,STEERING AND SHIMMY DAMPENER NOTHING OTR THAN IMPACT DMG FOUND."
19730629019709A,LNDD IN SWAMPY AREA TO L OF RWY.WIND GUSTING.FLEW 8HRS THIS PERIOD.WX MARGINAL VFR IN AREA.
19730629019719A,CLIMBNG OVR STEEPLY RISING TERRAIN.
19730629019729A,WIND GUSTING 15K.NS AND R MAIN GR COLLAPSED.
19730629024109A,TAIL WHEEL SPRING WEAK. DMGD R WG.
19730629027049A,"ENG LOST PWR.PLT LINED UP ON LANE BETWEEN CROPS. LOST GRND REF,OIL ON WINDSHIELD LDG INTO SUN."
19730630016729A,CREVICE CORROSION FND ON NO.7 PISTON PIN WHICH FAILED FIRST.LNDD IN BRUSH FLD.
19730630016739A,OIL LINE FOUND WORN ON ANNUAL WAS REPAIRED WITH ELECTRICAL TAPE P/N 61413-2.ACFT ANNUALED 6/20/73.
19730630017509A,"RUDDER TRIM TAB HORN ATTACHMENT POINT FAILED IN FLIGHT,PERMITTED RUDDER TO OSCILLATE."
19730630017949A,"UN FIND ARPT DUE DENSE SMOKE,PLT STAYED IN AREA UNTIL SO LOW ON FUEL UN FLY TO OTR ARPTS.RUT IN RD"
19730630018209A,USE OF EXTRA LONG COTTER PIN RESULTING IN FLOAT HANG-UP.NR 4 GIA 12/72 CVRS.LNDD IN A NURSERY
19730630018499A,LNDD IN PLOWED FLD.
19730630018849A,KNOWN UNRELIABLE FUEL GAGE.
19730630019139A,NSE WHL TIRE BLEW OUT.NSE STRUT ASSMBLY AND NSE GR ATTACH BENT.LWR FIREWALL ASSMBLY BUCKLED.
19730630019149A,"2 UPPER ENG MNT BOLTS FAILED ON PULL UP.UN CK DSCNT,NOSED OVER WHEN WHEELS HIT SOFT GND."
19730630019159A,ACFT OBSVD MAKING STEEP BANK MANEUVERS APRX 100FT AGL.
19730630019479A,STEEP PULL UP AFTER NORMAL BANNER HOOK UP.
19730630019739A,"LOW ON FUEL,UNSURE OF POS.MADE APCH TO AG STRIP,OVERSHOT.ENG QUIT,HIT GRND & BOUNCED INTO BLDG."
19730630020979A,"DMGD L MN LDG GR,FUSELAGE,PROP AND VERT STAB."
19730630021459A,PILOT USED FULL FLAPS FOR SHORT FIELD TAKEOFF MUSHED INTO TREES.
19730630022429A,PLT NOT CERT FOR SOLO.ACFT WENT OVR EMBANKMENT.
19730630024119A,OBTAINED WX FM TWR.
19730630029529A,
19730630029969A,"COLL W LUSCOMBE N77935 AND CESSNA 150 N7777F,TOTAL DAMAGE $3600.SECOND SUPERVISED SOLO."
19730701015639A,
19730701017299A,"PULLED FULL FLAPS,PWR OFF AND APPLIED FULL BRAKES SKIDDED INTO TREES."
19730701017959A,"BLEW TIRE,VEERED OFF RWY.DENS ALT 10000 FT."
19730701017969A,
19730701017979A,
19730701019169A,MTN TOPS OBSCURED.FLEW INTO FOG.PLT TIME TO 4/30/73.
19730701019179A,
19730701019399A,ACFT RAN ACROSS A DITCH.
19730701020199A,PLT ATMTD LOOP.ENG NOT EQPD FOR INVERTED FLT.ENGFAILED AT TOP OF LOOP.
19730701020359A,TURN BASE ENG QUIT R TANK.SWITCHED TANKS PUMP HI DID NOT RESTART.R TANK EMPTY.AD 72-13-3 NOT C/W.
19730701020579A,RECOVERY DATE 10/13/73.
19730701021079A,
19730701021339A,
19730701021389A,WIND GUSTING 30K.WX BRIEFED BY OPERATOR.
19730701021679A,AC POWERED BY VW REVMASTER 2100D ENG.INITIAL FLT.
19730701022439A,"LANDED ON SOY BEAN FIELD ROLLED THROUGH FENCE ROW,HIT SMALL TREES AND BRUSH."
19730701023119A,ACFT R WG HIT BRUSH.
19730701023129A,
19730701023139A,"TAXIED DWN RWY 18 ACFT VEERED L HIT PARKED PIPER PA-18 N7392D,SUB DMG."
19730701023689A,PLT STATED FUEL PUMP MALFUNCTIONED. PLT HAS NO OFFICIAL RECORD OF CERTIFICATION.
19730701026669A,INTXN TKOK. HIT MOBILE HOMES(MINOR DMG TO ONE AND SUBSTANTIAL DMG TO 2ND).
19730702015899A,DRG LDG APCH TO PASTURE R WING HIT TREE.
19730702017519A,AFTER ACCIDNT ENG/AIRFRAME IN AS-IS COND OPER NORMAL PLT CONFUSED WHERE FUEL SELECT VALVE ORIG SET
19730702018859A,"PLT BUZZED HOUSE,MADE STEEP CLIMBING TURN.OBS SAW PLT WAVING,THEN STALL ACFT."
19730702019749A,ACFT ON FERRY FLT.LNDD IN A POTATOE FLD.NR 3 PISTON FAILED IN THE LWR OIL WIPER RING GROOVE.
19730702020809A,PLT ATTEMPTED T/O FROM ROUGH HAYFIELD WITH INADEQUATE DIST TO CLR OBSTACLES.8IN GRASS OVR AREA.
19730702028829A,FUEL TANKS NOT RUPTURED NO FUEL FOUND IN ACFT TANKS.
19730702035429A,FLEW INTO SEVERE TSTM. L WG & TAIL SEPARATED. IMPACTED IN TRAILER PARK.
19730703016749A,PLT STATED HE SVCD ACFT AND DRAINED FUEL TANK SUMPS.
19730703018219A,WIND GUSTING 41K.FDY FSS ISSUED 2 SPCL WX ADV INDICATING SVR TSTMS WITH WINDS 12 TO 41K.
19730703018869A,"FLT TOWARD TREE LINE A LITTLE DEEP PULL UP MORE STEEPLY.UN CK DSCNT IN TURN,SPRAYING WATER."
19730703019189A,PIC BECAME LOST ATTEMPTED EMGCY LDG ON A ROAD.PLTS ATTN DIVERTED TO AUTO ON ROAD.
19730703019199A,"PLT ATTEMP T/O ON 1320 FT RNWY NO HDWND TEMP 85 DEG,800 LB LOAD.ACFT SETTLED INTO SUGARCANE."
19730703022009A,"DRG ROLL OUT GUST LIFTED R WING,TAIL CAME UP ACFT PIVOTED 90DEG L.WIND GUSTING 20K."
19730703022449A,COMPLETED 3RD PASS HIT TREES AT S END OF FLD.
19730703024719A,OBS SAW PLT PERFORMING ACROBATIC & STALL MANEUVERS. PLT BLOOD ALCOHOL LEVEL 0.27 PCT.
19730704016319A,"WIND GUSTING 31K.ENCTRD STRONG GUSTY WINDS AT T/D,UN CTL ACFT."
19730704017039A,"FLOAT EQPD,TKOF MADE IN AREA CONGESTED WITH BOATS AND PEOPLE IN WATER.ACFT STAGGERED OFF NOSE HI."
19730704018509A,"EXPD DIFFICULTY IN LOCATING ARPT,ENG QUIT AT TIME HE SAW ARPT.T/D ABT HALF WAY DWN RWY,UN STOP."
19730704019209A,"ACFT BECAME AIRBORNE BRIEFLY NEAR E END OF RWY IMDTLY SETTLED BACK TO GND.CARB HEAT ON,1FT GRASS."
19730704019489A,OBS BUZZING LAKE. STALLED IN PULL UP OVER TREES.
19730704019499A,"VOR TRACKING PRACTICE,AT ETA UN LOCATE ARPT.ATMTD LDG IN HAY FLD SAW WIRES BFR T/D PULLED NOSE UP."
19730704019759A,"LO AND SLOW,ACFT STALLED OVR APCH END RWY.LATE APP OF FULL PWR."
19730704019769A,L WING HIT A ROAD SIGN.R FUEL GAUGE INOP.
19730704019779A,L GR DWN LOCK DID NOT GO OVER CNTR WHEN A/C RAISED-RUST-DIRT ON LOCK MECHSM-A/C FLEW 9HRS IN 5 MO.
19730704019789A,ACFT SETTLED BACK TO RWY AFT LIFT OFF AND WAS SLOW IN GAINING ALT.
19730704019799A,PLT EXPERIENCED CEREBRAL HEMORRHAGE.CRASHED IN LAKE.
19730704020369A,PLT SHOE CAUGHT UNDER RUDDER PEDAL.
19730704020379A,TOOK OFF FROM SANDY STUBBLE FLD ABOUT 1960 FT LONG.DIDNT USE 1ST 200 FT.HIT 50 FT TREES AT BORDER.
19730704020989A,NO WITNESSES.IMPACT NEAR VERTICAL SHORTLY AFTER TKOF.WRECKAGE CONSUMED BY RESULTING FOREST FIRE.
19730704021489A,PILOT TAXIED INTO APPROACH LIGHTS.
19730704021729A,
19730704021739A,"HIT THE ROOF OF A TWO STORY HOUSE.WX FM BRADLEY FSS.PLT WX BRFNG FM SPRINGFLD,MO FSS.NO ENRT BRFNG"
19730704022719A,SEAT SLID REARWARD.SOFT FLD TKOF.
19730704023699A,BOUNCED LDG WIND GUST RAISED R WING DRG RCVRY L GR COLLAPSED.
19730704024449A,FLOAT EQUIPPED.LND ON SNOW PATCH ON MTN RIDGE.
19730704027029A,AIRBORNE DRIFTED L STRUCK LARGE OAK TREE WITH L WING.
19730704028539A,FLOAT EQUIPPED.BOTH SPREADER BARS CORRODED.
19730705018229A,"DEFOLIATION OF BRUSH PWR LINE RIGHT OF WAY.APRX 1/2 TAIL ROTOR BLADE MSG,SIGNS OF HARD OBJ STRIKE."
19730705018879A,TALL GRASS ADJACENT TO RUNWAY.PLT CONCERNED WITH SPECTATORS ALONG NORTH EDGE OF RWY.
19730705019509A,"WIND GUSTING 7K.THERMAL DISSIPATED,ACFT AT SLOW AIRSPEED."
19730705020029A,
19730705020209A,DIVERTED ATTN TO FLAGMAN.
19730705020219A,STUDENT ROLLED OFF THROTTLE DURG HOVER.
19730705020389A,"PILOT ELECTED TO LAND EAST SIDE OF RUNWAY TO KEEP RETREIVE SHORT,HIGH GRASS AT RUNWAY EDGE.WHEELS."
19730705020399A,"FUEL GASCOLATOR CONTAINED WATER,NO FUEL.FUEL DRUMS EXPOSED TO HEAVY RAINS."
19730705021499A,WHEN ENG STOPPED PLT SWITCHED TANKS MANY TIMES UN RESTART ENG.R MAIN FUEL TANK EMPTY.RESIDENT AREA
19730705022019A,
19730705022239A,
19730705026459A,CRASH LNDD.
19730705030859A,"FUEL TANK VENT KIT NIS.PLT MISUNDERSTOOD PLACARD,POS TO BOTH TANKS VICE 1 TANK.LND ON CURVING ROAD"
19730706017049A,"L FUEL CTL VALVE FEMALE SPLINE WORN,SHEARED.ARSB 72-0027,NCW,COVERS."
19730706017529A,"6TH LOAD PLT INCREASED LOAD BY 100LBS,TOTAL HOPPER 1000LBS.HIT CORN 3-4FT AGL.LNDD IN BEAN FLD."
19730706018629A,"ACFT IN GENTLE R TURN CLBD INTO STEEP TURN,DSCNDD.2HRS TOTAL AG FLYING OF PRACTICE RUNS OVR RWY."
19730706019809A,
19730706019819A,"COLL W RWY MKR,ROLLED INTO DUGOUT.GUSTS TO 15KTS."
19730706020589A,WIND GUSTING 15K.HIT PWR LINE.
19730706023359A,ATMTD STEEP TURN AT NR GROSS WT.DA 7000FT.OUTBD 25PCT M/R BLADES COATED W CHEM AND DIRT.
19730706023709A,"THROTTLE CTL CABLE,P/N 455-185, FAILED IN CLOSED POSITION."
19730706024459A,PLT MADE PWR LND ON LAST HALF OF RNWY.PLT FLEW 10 HRS ON DAY OF ACCIDENT.
19730706025381A,M/R BLADES MESHED.
19730706025382A,M/R BLADES MESHED.
19730707018239A,"PLT ELECTED DNWND LDG DUE RWY UPSLOPE.NOTED LONG LDG ATMTD GO-ARND,THROTTL STUCK.NO MALF FOUND."
19730707019409A,NOT GLIDER RATED.
19730707019829A,UNSAFE GR WARN PLT ELECTED TO LND ON GRASS AREA.SAFE GR LGT BULB INOP.
19730707020039A,MASSIVE INTERNAL FAILURES OF CYLINDERS AND RODS.CRASHED IN 4FT DEEP RIVER.RINSING SPRAY SYSTEM.
19730707020409A,PLT KNEW RWY LTS & BEACON INOP. LND 200 FT EAST OF RWY IN TALL GRASS & SAND.
19730707020819A,ENTERED HALF ROLL WHILE AVOIDING HAWK.UN RECOVER
19730707020999A,SANK IN OCEAN. INVEST UNDER JURISDICTION OF GOVT OF MEXICO.
19730707021089A,FATIGUE-T/R BLADE YOKE P/N 47-641-057-9.PLT MAINTAINED CONTROL 2 MIN.
19730707021749A,"LDG GR SELECT 3 PSN TOGGLE SWITCH PLT MOVED SWITCH FM UP TO CTR OFF PSN,THOUGHT SELECTED DWN PSN."
19730707021759A,LNDD ON ROUGH/UNEVEN ROAD.FAILED TO SWITCH FUEL TANKS AFT ENG FAILURE.
19730707022029A,ACFT BOUNCED 3 TIMES.
19730707022589A,
19730707023369A,SURFACE WINDS GUSTING TO 30K.
19730707024999A,RAN OFF RNWY DWN EMBANKMENT STRUCK TREES.1600FT WET GRASS STRIP.
19730707026461A,CHAMPION CRASHED INTO RESIDENTIAL GARAGE.BEECH HAD CTC WITH UNICOM.NO CTC WITH CHAMPION.
19730707026462A,UNCONTROLLED ARPT.BEECH ON FINAL STRUCK BY CHAMPION TURNING FROM SHORT BASE LEG.BEECH LND OK.
19730707028289A,BRAKES NOT SET PAX PUSHED THROTTLE TO OPEN PSN INSTEAD OF CLOSED PSN.ACFT ROLLED INTO HANGAR.
19730707028549A,AMPHIB.L FLOAT FRONT WHEEL ASSY FAILED.R FLOAT COLLAPSED.
19730707028559A,
19730707030119A,WASP NEST IN FUEL VENT.
19730708016759A,"CROSS WIND LDG,BOUNCED,LOST DIRECTIONAL CTL RAN OFF RWY HIT DIRT MOUND NOSED UP.WIND GUSTING 20K."
19730708017309A,"LAST ANNUAL INSPECTION ON ACFT AND ENG MAR 27,72.AD68-5-1 NOT COMPLIED WITH."
19730708017319A,DRNG AIRSHOW.WND GUSTING 10K.AIR IN BRAKE LINES.WING STRUCK RWY.
19730708017989A,ACFT HIT RWY MARKER.PLT REACHED DWN TO PUT ON 2 NOTCHES OF FLAP.
19730708018639A,AIRBORNE ABT 40MIN PLT NOTED FUEL GAUGE READ ZERO THOUGHT ABT TO RUN OUT OF FUEL ELECTED TO LND.
19730708019229A,PILOT ATTEMPTED FORCED LANDING IN OPEN FIELD STRUCK TREES BORDERING FIELD.
19730708019519A,WIND GUSTING 24K.
19730708019839A,
19730708019849A,HIT PWR LINES OVR RIVER.NS GR COLLAPSED LDG ON 12IN HIGH GRASS STRIP.
19730708019859A,ACFT SKIPPED TO L SIDE OF RWY STRUCK A DITCH.
19730708020419A,"PULLED IN COLLECTIVE AFTR LOSS OF DIR CTL.75 OF WIRES,CABLE #1,DMGD BY WEAR.DENS ALT ABT 8600FT."
19730708020429A,AUTO/GLIDER TOW SYSTEM USED. MISC-TOW ROPE FAILED TO RELEASE FOR UNDTRMD REASON
19730708020431A,"N8101X HAD JUST BECOME AIRBORNE WHEN STRUCK.PLT ABORTED,R WG HIT PROP OF PARKED ACFT,TYPE N/R."
